Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
2728,HF65 AYH,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2729,HF65 AYJ,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2730,HF65 AYK,2015,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2731,HF65 AYL,2015,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2732,HF65 AYM,2015,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2733,HF65 CXE,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2734,HF65 CXG,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2735,HF65 CXH,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2736,HF65 CXJ,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2737,HF65 CXK,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2738,HF65 CXL,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2739,HF65 CXM,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2740,HF65 CXN,2015,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2741,HF65 CXO,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,RecruitingWomen.png,In Service,
2742,HF65 CXP,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2743,HF65 CXT,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2744,HF65 CXU,2015,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2745,HF65 CXV,2015,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2746,HF65 CXW,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,BluestarOld.png,In Service,
2747,HF65 CXX,2015,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2748,HF65 CXY,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,BluestarOld.png,In Service,
2749,HF65 CXZ,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,BluestarOld.png,In Service,
2750,HF65 CYA,2015,Alexander-Dennis Enviro200 MMC,Swindon.png,BluestarOld.png,In Service,
2751,HF66 CHH,2016,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2752,HF66 DPU,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2753,HF66 DPV,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2754,HF66 DPX,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2755,HF66 DPY,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2756,HF66 DPZ,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2757,HF66 DRO,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2758,HF66 DRV,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2759,HF66 DOU,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2760,HF66 DPE,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2761,HF66 DPK,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2762,HF66 DPN,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
